PeakID (cmd=annotatePeaks.pl tal1_specific.bed mm10 -annStats tal1_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
tal1_peak_328	chr11	105794789	105794832	+	482	NA	intron (NM_181071, intron 6 of 25)	ID_B1|SINE|B4	149677	NM_007805	13056	Mm.149403	NM_007805	ENSMUSG00000019590	Cyb561	-	cytochrome b-561	protein-coding
tal1_peak_622	chr14	59614317	59614360	+	482	NA	Intergenic	PB1|SINE|Alu	-10943	NM_145463	219134	Mm.275409	NM_145463	ENSMUSG00000044461	Shisa2	9430059P22Rik|MAd2|Tmem46|mShisa|shisa	shisa family member 2	protein-coding
tal1_peak_360	chr12	17239457	17239504	+	482	NA	Intergenic	B1F|SINE|Alu	-27109	NM_027959	71853	Mm.222825	NM_027959	ENSMUSG00000020571	Pdia6	1700015E05Rik|AL023058|C77895|CaBP5|P5|Txndc7	protein disulfide isomerase associated 6	protein-coding
tal1_peak_1432	chr5	89536196	89536246	+	482	NA	intron (NM_133192, intron 1 of 3)	7SLRNA|srpRNA|srpRNA	8792	NM_133192	104443	Mm.447881	NM_133192	ENSMUSG00000035528	Npffr2	Gpr74|HG31|NPFF2	neuropeptide FF receptor 2	protein-coding
tal1_peak_764	chr16	52715213	52715257	+	415	NA	Intergenic	B1_Mus1|SINE|Alu	100509	NR_040495	73820	Mm.60493	NR_040495	ENSMUSG00000116611	4930404A05Rik	-	RIKEN cDNA 4930404A05 gene	ncRNA
tal1_peak_1858	chr8	119507814	119507859	+	415	NA	TTS (NM_001167910)	TTS (NM_001167910)	-6138	NM_001009950	234788	Mm.302096	NM_001009950	ENSMUSG00000034224	Slc38a8	Gm587	solute carrier family 38, member 8	protein-coding
tal1_peak_1305	chr4	62220324	62220374	+	415	NA	Intergenic	B1_Mus1|SINE|Alu	-11803	NM_001290351	22696	Mm.5011	NM_009554	ENSMUSG00000028389	Zfp37	Tzn|Zfp-37	zinc finger protein 37	protein-coding
tal1_peak_393	chr12	69361415	69361465	+	407	NA	Intergenic	7SLRNA|srpRNA|srpRNA	-4264	NM_025441	66244	Mm.46705	NM_025441	ENSMUSG00000020982	Nemf	1500011I12Rik|4933405E14Rik|Sdccag1	nuclear export mediator factor	protein-coding
tal1_peak_930	chr18	56549145	56549186	+	395	NA	intron (NM_138600, intron 5 of 17)	ID_B1|SINE|B4	11026	NR_106160	102465790		NR_106160	ENSMUSG00000099196	Mir1258	Gm27371|mmu-mir-1258	microRNA 1258	ncRNA
tal1_peak_595	chr14	32854211	32854258	+	393	NA	Intergenic	PB1|SINE|Alu	-2522	NM_178791	320736	Mm.187910	NM_178791	ENSMUSG00000050666	Vstm4	E130203B14Rik	V-set and transmembrane domain containing 4	protein-coding
tal1_peak_1036	chr2	30088288	30088329	+	393	NA	intron (NM_153805, intron 16 of 21)	PB1D10|SINE|Alu	5327	NM_001037762	66220	Mm.22538	NM_025428	ENSMUSG00000015335	Zdhhc12	1190004A01Rik	zinc finger, DHHC domain containing 12	protein-coding
tal1_peak_352	chr12	4417724	4417770	+	393	NA	intron (NM_010881, intron 1 of 22)	L1MA6|LINE|L1	59435	NM_010881	17977	Mm.301039	NM_010881	ENSMUSG00000020647	Ncoa1	KAT13A|NCoA-1|NRC-1|SRC-1|SRC-a|SRC1|bHLHe74|mNRC-1	nuclear receptor coactivator 1	protein-coding
tal1_peak_376	chr12	36136121	36136170	+	387	NA	intron (NM_025840, intron 1 of 11)	B1F|SINE|Alu	20680	NM_025840	66912	Mm.288669	NM_025840	ENSMUSG00000020547	Bzw2	1110001I24Rik|Bdm2|HSPC028	basic leucine zipper and W2 domains 2	protein-coding
tal1_peak_51	chr1	74719960	74720007	+	385	NA	intron (NM_024264, intron 1 of 8)	B1_Mm|SINE|Alu	6448	NM_024264	104086	Mm.85083	NM_024264	ENSMUSG00000026170	Cyp27a1	1300013A03Rik|Cyp27	cytochrome P450, family 27, subfamily a, polypeptide 1	protein-coding
tal1_peak_463	chr13	37506630	37506673	+	383	NA	Intergenic	PB1D10|SINE|Alu	161306	NM_010745	17084	Mm.2639	NM_010745	ENSMUSG00000021423	Ly86	MD-1|MD1|ly86_tv2	lymphocyte antigen 86	protein-coding
tal1_peak_1576	chr6	88054847	88054893	+	374	NA	Intergenic	B1F|SINE|Alu	-9600	NM_009005	19349	Mm.333233	NM_009005	ENSMUSG00000079477	Rab7	Rab7a	RAB7, member RAS oncogene family	protein-coding
tal1_peak_2089	chr9	89916009	89916054	+	374	NA	TTS (NM_001357744)	TTS (NM_001357744)	6256	NM_001357744	19417	Mm.44561	NM_011245	ENSMUSG00000032356	Rasgrf1	AI844718|CDC25|CDC25Mm|Gnrp|Grf1|Grfbeta|P190-A|Ras-GRF1|p190|p190RhoGEF	RAS protein-specific guanine nucleotide-releasing factor 1	protein-coding
tal1_peak_755	chr16	37046214	37046258	+	371	NA	intron (NM_029977, intron 14 of 29)	B1_Mus2|SINE|Alu	34450	NM_029977	77782	Mm.259114	NM_029977	ENSMUSG00000034206	Polq	A430110D14Rik	polymerase (DNA directed), theta	protein-coding
tal1_peak_1037	chr2	31049065	31049109	+	371	NA	intron (NM_001355105, intron 9 of 15)	B1_Mur4|SINE|Alu	47413	NM_001177650	14269	Mm.52297	NM_019406	ENSMUSG00000075415	Fnbp1	1110057E06Rik|2210010H06Rik|FBP1|Fbp17	formin binding protein 1	protein-coding
tal1_peak_663	chr15	38570234	38570275	+	371	NA	intron (NR_045757, intron 2 of 2)	B1F|SINE|Alu	24680	NR_045757	69679	Mm.416890	NR_045757	ENSMUSG00000102106	2310043O21Rik	-	RIKEN cDNA 2310043O21 gene	ncRNA
tal1_peak_1671	chr7	64345425	64345469	+	371	NA	TTS (NM_177893)	TTS (NM_177893)	28609	NM_177893	330554	Mm.236510	NM_177893	ENSMUSG00000033458	Fan1	6030441H18Rik|Mtmr15|mFAN1	FANCD2/FANCI-associated nuclease 1	protein-coding
tal1_peak_157	chr10	41749114	41749158	+	367	NA	intron (NR_152819, intron 1 of 3)	ID_B1|SINE|B4	2415	NR_152819	100196896	Mm.444764	NR_152819		BC048559	-	cDNA sequence BC048559	ncRNA
tal1_peak_752	chr16	35456875	35456916	+	350	NA	intron (NM_028295, intron 3 of 16)	PB1|SINE|Alu	33978	NM_028295	72599	Mm.71015	NM_028295	ENSMUSG00000022844	Pdia5	2700053F16Rik|AU015525|Pdir	protein disulfide isomerase associated 5	protein-coding
tal1_peak_1740	chr7	143368399	143368444	+	350	NA	intron (NM_008434, intron 15 of 15)	L1M4|LINE|L1	-37771	NR_045842	71153	Mm.398340	NR_045842	ENSMUSG00000101360	4933417O13Rik	-	RIKEN cDNA 4933417O13 gene	ncRNA
tal1_peak_225	chr11	4951907	4951948	+	350	NA	intron (NM_001243043, intron 1 of 22)	PB1D10|SINE|Alu	-3863	NM_010904	380684	Mm.298283	NM_010904	ENSMUSG00000020396	Nefh	NF-H|NF200|Nfh|mKIAA0845	neurofilament, heavy polypeptide	protein-coding
tal1_peak_176	chr10	70195210	70195255	+	350	NA	Intergenic	7SLRNA|srpRNA|srpRNA	-9432	NM_001304739	69563	Mm.64672	NM_001304739	ENSMUSG00000019933	Mrln	2310015B20Rik|Linc-RAM|Mln	myoregulin	protein-coding
tal1_peak_1285	chr4	40434572	40434613	+	350	NA	Intergenic	PB1|SINE|Alu	-37588	NM_177175	320500	Mm.156365	NM_177175	ENSMUSG00000046593	Tmem215	A930001M12Rik	transmembrane protein 215	protein-coding
tal1_peak_1314	chr4	80832055	80832103	+	350	NA	Intergenic	Lx4A|LINE|L1	-2134	NM_031202	22178	Mm.30438	NM_031202	ENSMUSG00000005994	Tyrp1	Oca3|TRP-1|TRP1|Tyrp|b|brown|isa	tyrosinase-related protein 1	protein-coding
tal1_peak_283	chr11	78198051	78198097	+	345	NA	intron (NM_001368876, intron 1 of 3)	B1_Mus1|SINE|Alu	3372	NM_001368876	216974	Mm.50974	NM_001045516	ENSMUSG00000044122	Proca1	4933404M19Rik	protein interacting with cyclin A1	protein-coding
tal1_peak_1566	chr6	69516343	69516396	+	340	NA	Intergenic	7SLRNA|srpRNA|srpRNA	-189195	NR_004434	19783		NR_004434	ENSMUSG00000106222	Rprl1	Rmrp2|Rpr|Rprh2	ribonuclease P RNA-like 1	ncRNA
tal1_peak_1196	chr3	40003018	40003063	+	331	NA	Intergenic	PB1|SINE|Alu	519872	NR_040445	100040882	Mm.272869	NR_040445	ENSMUSG00000037884	1700017G19Rik	-	RIKEN cDNA 1700017G19 gene	ncRNA
tal1_peak_1434	chr5	92277243	92277286	+	328	NA	intron (NM_025972, intron 1 of 10)	PB1D10|SINE|Alu	917	NM_025972	67111	Mm.28890	NM_025972	ENSMUSG00000029413	Naaa	2210023K21Rik|3830414F09Rik|Asahl	N-acylethanolamine acid amidase	protein-coding
tal1_peak_629	chr14	70653709	70653756	+	328	NA	promoter-TSS (NM_181345)	promoter-TSS (NM_181345)	-648	NM_181345	328440	Mm.347749	NM_181345	ENSMUSG00000047911	Npm2	-	nucleophosmin/nucleoplasmin 2	protein-coding
tal1_peak_1852	chr8	111865625	111865690	+	328	NA	3' UTR (NM_025781, exon 3 of 3)	3' UTR (NM_025781, exon 3 of 3)	11018	NM_025781	66817	Mm.345350	NM_025781	ENSMUSG00000031953	Tmem170	9030409E16Rik|AA403674|D8Bwg1414e|Tmem170a	transmembrane protein 170	protein-coding
tal1_peak_753	chr16	36014598	36014641	+	328	NA	intron (NM_008465, intron 5 of 13)	B1_Mus2|SINE|Alu	-26571	NM_027113	69544	Mm.37802	NM_027113	ENSMUSG00000034379	Wdr5b	2310009C03Rik|AI606931	WD repeat domain 5B	protein-coding
tal1_peak_1350	chr4	132862217	132862259	+	328	NA	intron (NM_133887, intron 5 of 8)	B1_Mus1|SINE|Alu	-19069	NM_146154	100336	Mm.105230	NM_146154	ENSMUSG00000028882	Ppp1r8	6330548N22Rik|AU044684|NIPP1	protein phosphatase 1, regulatory subunit 8	protein-coding
tal1_peak_928	chr18	55622856	55622915	+	328	NA	Intergenic	7SLRNA|srpRNA|srpRNA	-630294	NM_001360787	269023	Mm.192984	NM_175751	ENSMUSG00000052713	Zfp608	4932417D18Rik|D430007A19Rik|Znf608	zinc finger protein 608	protein-coding
tal1_peak_787	chr16	91765638	91765685	+	328	NA	intron (NM_001110275, intron 1 of 28)	B1_Mus2|SINE|Alu	36290	NM_010587	16443	Mm.40546	NM_010587	ENSMUSG00000022957	Itsn1	AA517634|AA545208|AI316805|AI839402|AI848451|Ehsh1|Ese1|Itsn|Sh3p17	intersectin 1 (SH3 domain protein 1A)	protein-coding
tal1_peak_60	chr1	86313283	86313323	+	328	NA	Intergenic	B1_Mus1|SINE|Alu	-9243	NR_151592	102635143		NR_151592		Gm28626	-	predicted gene 28626	ncRNA
tal1_peak_1602	chr6	120594608	120594651	+	328	NA	Intergenic	PB1|SINE|Alu	39833	NR_045733	73505	Mm.416867	NR_045733		1700072O05Rik	-	RIKEN cDNA 1700072O05 gene	ncRNA
tal1_peak_311	chr11	97932446	97932492	+	313	NA	intron (NM_028199, intron 10 of 13)	PB1|SINE|Alu	-48315	NM_001081435	72973	Mm.245939	NM_001081435	ENSMUSG00000070336	Fbxo47	2900052P03Rik|Gm1562	F-box protein 47	protein-coding
tal1_peak_684	chr15	78088812	78088857	+	313	NA	intron (NM_007583, intron 1 of 3)	PB1D11|SINE|Alu	30446	NM_007583	12300	Mm.277338	NM_007583	ENSMUSG00000019146	Cacng2	AW060990|B230105C07Rik|B930041E13Rik|stargazer|stargazin|stg|wag|waggler	calcium channel, voltage-dependent, gamma subunit 2	protein-coding
tal1_peak_341	chr11	113636808	113636848	+	307	NA	intron (NM_001362939, intron 1 of 9)	ID_B1|SINE|B4	-12701	NM_013581	16834	Mm.261620	NM_013581	ENSMUSG00000018661	Cog1	6030445I15|Ldlb|mKIAA1381	component of oligomeric golgi complex 1	protein-coding
tal1_peak_2345	chrX	13395920	13395959	+	307	NA	Intergenic	PB1D7|SINE|Alu	-65151	NM_173415	236690	Mm.90233	NM_173415	ENSMUSG00000051228	Nyx	CLNP|CSNB1|CSNB4|nob	nyctalopin	protein-coding
tal1_peak_822	chr17	24298411	24298459	+	307	NA	intron (NM_001031621, intron 16 of 30)	B1_Mus1|SINE|Alu	-47026	NM_007634	12449	Mm.77695	NM_007634	ENSMUSG00000072082	Ccnf	CycF|Fbxo1	cyclin F	protein-coding
tal1_peak_363	chr12	21478380	21478425	+	307	NA	Intergenic	B1_Mm|SINE|Alu	-60966	NM_011739	22630	Mm.289630	NM_011739	ENSMUSG00000076432	Ywhaq	2700028P07Rik|AA409740|AU021156|R74690	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	protein-coding
tal1_peak_639	chr14	102329686	102329728	+	307	NA	Intergenic	L1_Mur3|LINE|L1	489084	NM_001347628	380928	Mm.218981	NM_201529	ENSMUSG00000033060	Lmo7	C78582|FBXO20|Gm914|mKIAA0858	LIM domain only 7	protein-coding
tal1_peak_1113	chr2	120546623	120546666	+	304	NA	intron (NM_011743, intron 2 of 21)	B1_Mus2|SINE|Alu	17215	NM_011743	20402	Mm.485295	NM_011743	ENSMUSG00000027288	Zfp106	Cd-1|D2Dcr28|EyeLinc12|H3a|Sh3bp3|Znf106|sirm|zfp-106	zinc finger protein 106	protein-coding
tal1_peak_329	chr11	106127776	106127820	+	296	NA	intron (NM_011947, intron 6 of 15)	B1_Mus1|SINE|Alu	32129	NM_001356459	67803	Mm.21687	NM_172397	ENSMUSG00000040699	Limd2	0610025L06Rik|AI413966	LIM domain containing 2	protein-coding
tal1_peak_1727	chr7	130362872	130362914	+	291	NA	Intergenic	L1_Mus3|LINE|L1	-96085	NM_201601	14183	Mm.16340	NM_010207	ENSMUSG00000030849	Fgfr2	AU043015|AW556123|Bek|Fgfr-2|Fgfr-7|Fgfr7|KGFR|KGFRTr|svs	fibroblast growth factor receptor 2	protein-coding
tal1_peak_1514	chr5	149248167	149248235	+	291	NA	Intergenic	7SLRNA|srpRNA|srpRNA	-16803	NM_001308462	11690	Mm.19844	NM_009663	ENSMUSG00000060063	Alox5ap	Flap	arachidonate 5-lipoxygenase activating protein	protein-coding
tal1_peak_351	chr12	3734060	3734104	+	286	NA	intron (NM_001162465, intron 11 of 17)	PB1D7|SINE|Alu	-72898	NM_007872	13435	Mm.5001	NM_007872	ENSMUSG00000020661	Dnmt3a	MmuIIIA	DNA methyltransferase 3A	protein-coding
tal1_peak_118	chr1	190483098	190483149	+	286	NA	Intergenic	7SLRNA|srpRNA|srpRNA	79475	NR_151624	433390	Mm.331295	NR_151624	ENSMUSG00000103644	Gm29678	-	predicted gene, 29678	ncRNA
tal1_peak_2093	chr9	97783208	97783254	+	286	NA	intron (NM_022319, intron 2 of 17)	B1_Mus2|SINE|Alu	-220189	NR_110443	66737	Mm.445908	NR_110443	ENSMUSG00000090255	4921534H16Rik	-	RIKEN cDNA 4921534H16 gene	ncRNA
tal1_peak_499	chr13	64367342	64367390	+	286	NA	intron (NM_009984, intron 4 of 7)	B1_Mm|SINE|Alu	3154	NM_009984	13039	Mm.930	NM_009984	ENSMUSG00000021477	Ctsl	1190035F06Rik|CatL|Ctsl1|MEP|fs|nkt	cathepsin L	protein-coding
tal1_peak_1325	chr4	100552209	100552257	+	286	NA	Intergenic	B1_Mus1|SINE|Alu	73366	NM_001033773	381534	Mm.318133	NM_001033773	ENSMUSG00000069733	Ube2u	-	ubiquitin-conjugating enzyme E2U (putative)	protein-coding
tal1_peak_1425	chr5	74811761	74811801	+	286	NA	Intergenic	B1F1|SINE|Alu	-108878	NM_001159577	16924	Mm.440403	NM_010727	ENSMUSG00000029228	Lnx1	Lnx	ligand of numb-protein X 1	protein-coding
tal1_peak_2411	chrX	106040906	106040950	+	286	NA	intron (NM_001109757, intron 1 of 22)	B1_Mur4|SINE|Alu	13704	NM_001109757	11977	Mm.254297	NM_009726	ENSMUSG00000033792	Atp7a	MNK	ATPase, Cu++ transporting, alpha polypeptide	protein-coding
tal1_peak_1672	chr7	66238339	66238388	+	286	NA	Intergenic	Lx5|LINE|L1	128871	NM_001081163	269941	Mm.333916	NM_001081163	ENSMUSG00000032640	Chsy1	-	chondroitin sulfate synthase 1	protein-coding
tal1_peak_466	chr13	39423877	39423922	+	286	NA	Intergenic	PB1|SINE|Alu	-463020	NM_001170431	108652	Mm.255506	NM_134060	ENSMUSG00000021432	Slc35b3	4921526O06Rik|AI428480|CGI-19|PABST2|PAPST2	solute carrier family 35, member B3	protein-coding
tal1_peak_117	chr1	189623940	189623982	+	284	NA	Intergenic	PB1D10|SINE|Alu	64125	NM_001081363	108000	Mm.129746	NM_001081363	ENSMUSG00000026605	Cenpf	6530404A22Rik|AI325968|CENF|Lek1|PRO1779|mitosin	centromere protein F	protein-coding
tal1_peak_1583	chr6	99863959	99863999	+	266	NA	Intergenic	PB1D10|SINE|Alu	-137587	NM_001037539	50501	Mm.87365	NM_015768	ENSMUSG00000030069	Prok2	Bv8|PK2|Prok1	prokineticin 2	protein-coding
tal1_peak_1024	chr2	20064038	20064077	+	266	NA	Intergenic	PB1|SINE|Alu	-225856	NM_001081006	208618	Mm.237935	NM_029895	ENSMUSG00000036617	Etl4	6620402G01Rik|9430077C05Rik|BC026657|E330027G05Rik|Etl-4|Skt	enhancer trap locus 4	protein-coding
tal1_peak_1713	chr7	120892325	120892371	+	266	NA	intron (NM_001267711, intron 15 of 17)	PB1D10|SINE|Alu	-25396	NM_001164096	26939	Mm.193632	NM_025298	ENSMUSG00000030880	Polr3e	RPC5|Sin	polymerase (RNA) III (DNA directed) polypeptide E	protein-coding
tal1_peak_209	chr10	115764263	115764303	+	266	NA	Intergenic	B1_Mus2|SINE|Alu	-53001	NM_001168679	216350	Mm.22270	NM_146010	ENSMUSG00000034127	Tspan8	C76990|E330007O21Rik|Tm4sf3	tetraspanin 8	protein-coding
tal1_peak_132	chr10	4616509	4616549	+	266	NA	intron (NM_007956, intron 1 of 8)	PB1D11|SINE|Alu	4540	NM_001302532	13982	Mm.9213	NM_007956	ENSMUSG00000019768	Esr1	ER|ER-alpha|ERa|ERalpha|ESR|Estr|Estra|Nr3a1	estrogen receptor 1 (alpha)	protein-coding
tal1_peak_771	chr16	72804380	72804422	+	266	NA	intron (NM_019413, intron 2 of 28)	L1_Mur2|LINE|L1	141252	NM_019413	19876	Mm.310772	NM_019413	ENSMUSG00000022883	Robo1	AW494633|AW742721|DUTT1|Gm310	roundabout guidance receptor 1	protein-coding
tal1_peak_923	chr18	45056057	45056101	+	266	NA	Intergenic	L1_Mus1|LINE|L1	-212780	NM_001312905	140492	Mm.411614	NM_080465	ENSMUSG00000054477	Kcnn2	KCa2.2|SK2|SKCA2|bc|fri	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	protein-coding
tal1_peak_1053	chr2	60062103	60062144	+	266	NA	intron (NM_001001182, intron 2 of 35)	PB1D11|SINE|Alu	36612	NM_001370942	667103	Mm.491257	NM_001370942		Gm13570	-	predicted gene 13570	protein-coding
tal1_peak_870	chr17	71459019	71459055	+	266	NA	intron (NM_028887, intron 3 of 47)	B1_Mus1|SINE|Alu	16306	NM_028887	74355	Mm.194450	NM_028887	ENSMUSG00000024054	Smchd1	4931400A14Rik|AW554188|MommeD1|mKIAA0650	SMC hinge domain containing 1	protein-coding
tal1_peak_1630	chr7	3364228	3364274	+	266	NA	intron (NM_133189, intron 4 of 5)	B1_Mus1|SINE|Alu	-29791	NM_133190	81905	Mm.357990	NM_133190	ENSMUSG00000053395	Cacng8	-	calcium channel, voltage-dependent, gamma subunit 8	protein-coding
tal1_peak_1506	chr5	147011295	147011335	+	266	NA	Intergenic	PB1D11|SINE|Alu	-47460	NM_001359467	76366	Mm.486234	NM_029581	ENSMUSG00000016510	Mtif3	2810012L14Rik|AI414549	mitochondrial translational initiation factor 3	protein-coding
tal1_peak_1292	chr4	44901355	44901395	+	262	NA	intron (NM_138590, intron 5 of 8)	PB1D11|SINE|Alu	-80019	NM_001312880	76238	Mm.196574	NM_080289	ENSMUSG00000035637	Grhpr	1110059D05Rik|6430629L09Rik|Glxr	glyoxylate reductase/hydroxypyruvate reductase	protein-coding
tal1_peak_1649	chr7	29091690	29091730	+	262	NA	intron (NM_009109, intron 29 of 105)	B1F1|SINE|Alu	-8016	NR_035489	100316710		NR_035489	ENSMUSG00000089219	Mir1963	mir-1963|mmu-mir-1963	microRNA 1963	ncRNA
tal1_peak_2078	chr9	68913951	68913991	+	258	NA	intron (NM_013646, intron 1 of 10)	PB1D11|SINE|Alu	148625	NR_033299	320440	Mm.483129	NM_177159		9530091C08Rik	-	RIKEN cDNA 9530091C08 gene	ncRNA
tal1_peak_1771	chr8	19034056	19034093	+	247	NA	Intergenic	B1_Mus1|SINE|Alu	-7506	NM_183036	360212	Mm.271558	NM_183036	ENSMUSG00000053790	Defb38	BD-38	defensin beta 38	protein-coding
tal1_peak_1082	chr2	90626347	90626388	+	245	NA	Intergenic	B1_Mus1|SINE|Alu	-45720	NM_008982	19271	Mm.330393	NM_008982	ENSMUSG00000025314	Ptprj	AI450271|BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|RPTPJ|Scc-1|Scc1	protein tyrosine phosphatase, receptor type, J	protein-coding
tal1_peak_384	chr12	54869944	54869985	+	245	NA	Intergenic	B1F|SINE|Alu	-7087	NM_007688	12632	Mm.276826	NM_007688	ENSMUSG00000062929	Cfl2	-	cofilin 2, muscle	protein-coding
tal1_peak_1664	chr7	46798704	46798747	+	245	NA	intron (NM_001360076, intron 2 of 15)	PB1D10|SINE|Alu	2054	NM_001291075	14884	Mm.22700	NM_008186	ENSMUSG00000006599	Gtf2h1	62kDa|AW743425|AW822074|BTF2 p62|C77871|p62	general transcription factor II H, polypeptide 1	protein-coding
tal1_peak_1386	chr5	5691807	5691848	+	245	NA	intron (NM_028734, intron 1 of 5)	PB1|SINE|Alu	2262	NM_001103157	74051	Mm.274956	NM_028734	ENSMUSG00000015653	Steap2	4921538B17Rik|AI930049|AW045895|IPCA-1|IPCA1|PCANAP1|STAMP1|STMP	six transmembrane epithelial antigen of prostate 2	protein-coding
tal1_peak_872	chr17	74386808	74386851	+	245	NA	intron (NM_001357738, intron 14 of 15)	B1_Mur4|SINE|Alu	-8779	NM_001252478	210148	Mm.243943	NM_144798	ENSMUSG00000024069	Slc30a6	9530029F08Rik|ZnT6	solute carrier family 30 (zinc transporter), member 6	protein-coding
tal1_peak_687	chr15	78886767	78886813	+	245	NA	intron (NM_145929, intron 7 of 16)	B1_Mus2|SINE|Alu	-5050	NR_105920	102466210		NR_105920	ENSMUSG00000099267	Mir6955	Gm27769|mmu-mir-6955	microRNA 6955	ncRNA
tal1_peak_1323	chr4	98825475	98825517	+	245	NA	Intergenic	B1_Mus2|SINE|Alu	-1656	NR_151512	545660	Mm.331722	NM_001033982	ENSMUSG00000073794	I0C0044D17Rik	-	RIKEN cDNA I0C0044D17 gene	ncRNA
tal1_peak_1174	chr2	179833974	179834012	+	245	NA	intron (NM_001316723, intron 4 of 5)	PB1D10|SINE|Alu	142653	NM_001081092	228980	Mm.235542	NM_001081092	ENSMUSG00000039117	Taf4	135kDa|AI450312|TAFII130|TAFII135|Taf2c1|Taf4a	TATA-box binding protein associated factor 4	protein-coding
tal1_peak_1228	chr3	98112859	98112902	+	245	NA	intron (NM_010928, intron 13 of 33)	B1F|SINE|Alu	-47754	NM_027665	71078	Mm.50711	NM_027665	ENSMUSG00000043468	Adam30	4933424D07Rik|svph4	a disintegrin and metallopeptidase domain 30	protein-coding
tal1_peak_1344	chr4	126494529	126494572	+	245	NA	intron (NM_153177, intron 17 of 17)	B1_Mus2|SINE|Alu	-25967	NM_153403	236511	Mm.30800	NM_153403	ENSMUSG00000041530	Ago1	Eif2c1	argonaute RISC catalytic subunit 1	protein-coding
tal1_peak_955	chr19	9132275	9132313	+	245	NA	intron (NM_025610, intron 2 of 6)	PB1|SINE|Alu	3272	NM_025610	66514	Mm.272847	NM_025610	ENSMUSG00000024654	Asrgl1	2410004D18Rik|ALP|ALP1|AU040643|AW060375	asparaginase like 1	protein-coding
