PeakID (cmd=annotatePeaks.pl lmo2_specific.bed mm10 -annStats lmo2_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_430	chr13	43191761	43192117	+	191	NA	Intergenic	Intergenic	-20438	NM_001252639	67046	Mm.269213	NM_025935	ENSMUSG00000021368	Tbc1d7	2610009C09Rik	TBC1 domain family, member 7	protein-coding
lmo2_peak_1296	chr5	29893729	29894142	+	191	NA	Intergenic	L2|LINE|L2	-119179	NM_031168	16193	Mm.1019	NM_031168	ENSMUSG00000025746	Il6	Il-6	interleukin 6	protein-coding
lmo2_peak_1224	chr4	118568726	118569080	+	182	NA	intron (NM_026789, intron 21 of 22)	intron (NM_026789, intron 21 of 22)	-25177	NM_172383	230678	Mm.23639	NM_172383	ENSMUSG00000050854	Tmem125	6330530A05Rik|AV223516	transmembrane protein 125	protein-coding
lmo2_peak_1561	chr7	128289036	128289300	+	182	NA	promoter-TSS (NR_037290)	promoter-TSS (NR_037290)	-164	NM_001360882	233913	Mm.220880	NM_145590	ENSMUSG00000030780	BC017158	-	cDNA sequence BC017158	protein-coding
lmo2_peak_245	chr11	53523046	53523323	+	182	NA	intron (NM_001361969, intron 1 of 9)	intron (NM_001361969, intron 1 of 9)	2996	NM_001361969	20362	Mm.274399	NM_033144	ENSMUSG00000018398	Sept8	AW046166|Sepl	septin 8	protein-coding
lmo2_peak_1270	chr4	149336380	149336634	+	182	NA	TTS (NR_131918)	TTS (NR_131918)	1868	NR_131918	74310	Mm.440455	NR_131918	ENSMUSG00000085286	Ube4bos3	1700121F15Rik	ubiquitination factor E4B, opposite strand 3	ncRNA
lmo2_peak_816	chr18	33949815	33950043	+	182	NA	intron (NM_013512, intron 2 of 23)	MIRb|SINE|MIR	57277	NM_013512	13824	Mm.3465	NM_013512	ENSMUSG00000024376	Epb41l4a	Epb4.1l4|Epb4.1l4a|NBL4	erythrocyte membrane protein band 4.1 like 4a	protein-coding
lmo2_peak_1553	chr7	122716311	122716565	+	182	NA	intron (NM_019430, intron 1 of 3)	L2|LINE|L2	44694	NM_019430	54376	Mm.444212	NM_019430	ENSMUSG00000066189	Cacng3	-	calcium channel, voltage-dependent, gamma subunit 3	protein-coding
lmo2_peak_1306	chr5	37977114	37977356	+	182	NA	Intergenic	Intergenic	-61995	NM_001289535	71116	Mm.18959	NM_026959	ENSMUSG00000029125	Stx18	1810035L21Rik|4933425D03Rik|AU041562	syntaxin 18	protein-coding
lmo2_peak_266	chr11	70737808	70738038	+	182	NA	Intergenic	Intergenic	-26524	NM_177565	193043	Mm.40966	NM_177565	ENSMUSG00000043602	Zfp3	AI854635|B230309J24|Fnp-1|Zfp-3	zinc finger protein 3	protein-coding
lmo2_peak_1378	chr5	144271865	144272183	+	182	NA	intron (NM_025833, intron 12 of 13)	intron (NM_025833, intron 12 of 13)	-5037	NR_040432	100504231	Mm.441035	NR_040432	ENSMUSG00000086894	Gm15708	-	predicted gene 15708	ncRNA
lmo2_peak_1519	chr7	81057892	81058277	+	180	NA	intron (NM_054085, intron 1 of 13)	intron (NM_054085, intron 1 of 13)	484	NM_054085	116904	Mm.475768	NM_054085	ENSMUSG00000038763	Alpk3	AW319487|D330016D04|MAK|Midori|mKIAA1330	alpha-kinase 3	protein-coding
lmo2_peak_1276	chr4	153317106	153317321	+	180	NA	Intergenic	Intergenic	165617	NM_001099299	230959	Mm.318874	NM_001099299	ENSMUSG00000039546	Ajap1	Gm573	adherens junction associated protein 1	protein-coding
lmo2_peak_1815	chr9	66620689	66621012	+	180	NA	Intergenic	Intergenic	-27735	NM_001302122	235441	Mm.32465	NM_144937	ENSMUSG00000032376	Usp3	AA409661|BC017156	ubiquitin specific peptidase 3	protein-coding
lmo2_peak_29	chr1	75446224	75446439	+	180	NA	Intergenic	Intergenic	-4179	NM_183022	241118	Mm.110790	NM_183022	ENSMUSG00000033007	Asic4	Accn4|BNAC4	acid-sensing (proton-gated) ion channel family member 4	protein-coding
lmo2_peak_982	chr2	84938699	84938953	+	176	NA	intron (NM_021398, intron 3 of 12)	intron (NM_021398, intron 3 of 12)	2180	NM_021398	58207	Mm.290729	NM_021398	ENSMUSG00000027074	Slc43a3	Eeg1|SEEEG-1	solute carrier family 43, member 3	protein-coding
lmo2_peak_1507	chr7	64057957	64058171	+	170	NA	Intergenic	Intergenic	-95771	NM_001039104	17364	Mm.38875	NM_018752	ENSMUSG00000030523	Trpm1	4732499L03Rik|AI606771|Ltrpc1|Mlsn1	transient receptor potential cation channel, subfamily M, member 1	protein-coding
lmo2_peak_1207	chr4	106232551	106232884	+	169	NA	Intergenic	Intergenic	-8496	NR_151521	105244641	Mm.404914	NR_151521		Gm12724	-	predicted gene 12724	ncRNA
lmo2_peak_130	chr10	37232172	37232380	+	169	NA	Intergenic	Intergenic	-93350	NM_008538	17118	Mm.30059	NM_008538	ENSMUSG00000069662	Marcks	Macs|PKCSL	myristoylated alanine rich protein kinase C substrate	protein-coding
lmo2_peak_1234	chr4	127258281	127258663	+	169	NA	Intergenic	Intergenic	14688	NM_030252	80284	Mm.139607	NM_030252	ENSMUSG00000042380	Smim12	BC003266	small integral membrane protein 12	protein-coding
lmo2_peak_441	chr13	46058371	46058685	+	169	NA	Intergenic	Intergenic	-93537	NM_001199305	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|Gm10786|Sca1	ataxin 1	protein-coding
lmo2_peak_1007	chr2	112676784	112677028	+	169	NA	intron (NM_001319156, intron 72 of 103)	RLTR14_RN|LTR|ERV1	58489	NM_001355631	74268	Mm.315125	NM_028844	ENSMUSG00000003604	Aven	1700013A01Rik|1700056A21Rik|mAven-L|mAven-S	apoptosis, caspase activation inhibitor	protein-coding
lmo2_peak_792	chr17	84420074	84420308	+	169	NA	intron (NM_183021, intron 21 of 37)	intron (NM_183021, intron 21 of 37)	46017	NM_183021	240174	Mm.246767	NM_177826	ENSMUSG00000024251	Thada	6530405K19|A930021O22|AU019899|BC052885|GITA	thyroid adenoma associated	protein-coding
lmo2_peak_1491	chr7	24377079	24377396	+	169	NA	intron (NM_008433, intron 2 of 8)	intron (NM_008433, intron 2 of 8)	6974	NM_001163510	16534	Mm.9911	NM_008433	ENSMUSG00000054342	Kcnn4	IK1|IKCA1|KCA4|KCa3.1|SK4|SKCas|mIKCa1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	protein-coding
lmo2_peak_1036	chr2	152789153	152789399	+	169	NA	intron (NM_001289716, intron 2 of 2)	intron (NM_001289716, intron 2 of 2)	35103	NM_053091	84682	Mm.196668	NM_053091	ENSMUSG00000009876	Cox4i2	Cox4b|CoxIV-2	cytochrome c oxidase subunit 4I2	protein-coding
lmo2_peak_1349	chr5	119875474	119875719	+	169	NA	intron (NM_011537, intron 8 of 8)	intron (NM_011537, intron 8 of 8)	40933	NM_011537	21388	Mm.103636	NM_011537	ENSMUSG00000018263	Tbx5	-	T-box 5	protein-coding
lmo2_peak_337	chr12	12993959	12994333	+	169	NA	Intergenic	MIRc|SINE|MIR	-52310	NM_008709	18109	Mm.16469	NM_008709	ENSMUSG00000037169	Mycn	N-myc|Nmyc|Nmyc-1|Nmyc1|bHLHe37|c-nmyc	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	protein-coding
lmo2_peak_709	chr16	92801528	92802017	+	169	NA	intron (NM_001111021, intron 2 of 7)	intron (NM_001111021, intron 2 of 7)	24302	NM_001111021	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
lmo2_peak_1725	chr8	122309321	122309682	+	169	NA	intron (NM_009569, intron 3 of 9)	intron (NM_009569, intron 3 of 9)	27360	NM_009569	22761	Mm.3105	NM_009569	ENSMUSG00000049577	Zfpm1	FOG|Fog1	zinc finger protein, multitype 1	protein-coding
lmo2_peak_272	chr11	77876191	77876539	+	169	NA	Intergenic	Intergenic	17507	NM_008952	19193	Mm.8543	NM_008952	ENSMUSG00000017453	Pipox	LPIPOX|Pso	pipecolic acid oxidase	protein-coding
lmo2_peak_1375	chr5	143055667	143055990	+	169	NA	intron (NM_207110, intron 13 of 16)	intron (NM_207110, intron 13 of 16)	57192	NM_080561	108086	Mm.381440	NM_080561	ENSMUSG00000045078	Rnf216	2810055G22Rik|AI647468|AU019462|C86502|F830018F18Rik|TRIAD3|UIP83|Ubce7ip1	ring finger protein 216	protein-coding
lmo2_peak_781	chr17	70488876	70489138	+	169	NA	intron (NM_177639, intron 1 of 11)	intron (NM_177639, intron 1 of 11)	-32887	NM_001347414	224997	Mm.311840	NM_027712	ENSMUSG00000003279	Dlgap1	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	DLG associated protein 1	protein-coding
lmo2_peak_1526	chr7	97341596	97341806	+	169	NA	intron (NM_001039039, intron 1 of 1)	LTR48B|LTR|ERV1	9378	NM_001039039	622320	Mm.334029	NM_001039039	ENSMUSG00000044952	Kctd21	EG622320	potassium channel tetramerisation domain containing 21	protein-coding
