PeakID (cmd=annotatePeaks.pl shared_peaks.bed mm10 -annStats shared_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_673	chr16	32509495	32509957	+	610	NA	Intergenic	Intergenic	13445	NM_199309	245308	Mm.76859	NM_199309	ENSMUSG00000052363	Zdhhc19	Gm1744|Gm616	zinc finger, DHHC domain containing 19	protein-coding
lmo2_peak_1648	chr8	68606613	68607115	+	606	NA	intron (NM_172753, intron 2 of 9)	intron (NM_172753, intron 2 of 9)	128221	NM_001364256	234356	Mm.334569	NM_172753	ENSMUSG00000036356	Csgalnact1	4732435N03Rik|CSGalNAcT-1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	protein-coding
lmo2_peak_1586	chr8	8488566	8489408	+	602	NA	Intergenic	Intergenic	172255	NM_010111	13642	Mm.209813	NM_010111	ENSMUSG00000001300	Efnb2	ELF-2|Epl5|Eplg5|Htk-L|LERK-5|Lerk5|NLERK-1	ephrin B2	protein-coding
lmo2_peak_921	chr2	20489042	20489493	+	593	NA	intron (NM_001081006, intron 2 of 21)	intron (NM_001081006, intron 2 of 21)	-20780	NM_178059	208618	Mm.237935	NM_029895	ENSMUSG00000036617	Etl4	6620402G01Rik|9430077C05Rik|BC026657|E330027G05Rik|Etl-4|Skt	enhancer trap locus 4	protein-coding
lmo2_peak_1057	chr2	170222876	170223214	+	592	NA	Intergenic	Intergenic	-28992	NR_157067	100502923	Mm.44078	NR_157067	ENSMUSG00000097514	Gm17619	-	predicted gene, 17619	ncRNA
lmo2_peak_935	chr2	32128032	32128518	+	579	NA	Intergenic	Intergenic	-22873	NM_001159634	227723	Mm.25504	NM_172661	ENSMUSG00000039262	Prrc2b	5830434P21Rik|AI173903|Bat2l|Bat2l1|D430039P21|mKIAA0515	proline-rich coiled-coil 2B	protein-coding
lmo2_peak_826	chr18	55106940	55107475	+	577	NA	Intergenic	Intergenic	-114616	NM_001360787	269023	Mm.192984	NM_175751	ENSMUSG00000052713	Zfp608	4932417D18Rik|D430007A19Rik|Znf608	zinc finger protein 608	protein-coding
lmo2_peak_1350	chr5	120136240	120136602	+	577	NA	intron (NM_028762, intron 16 of 23)	intron (NM_028762, intron 16 of 23)	2842	NR_045793	100503427	Mm.446834	NR_045793	ENSMUSG00000097368	Gm10390	-	predicted gene 10390	ncRNA
lmo2_peak_970	chr2	75704813	75705287	+	577	NA	promoter-TSS (NM_010902)	promoter-TSS (NM_010902)	-387	NM_010902	18024	Mm.1025	NM_010902	ENSMUSG00000015839	Nfe2l2	Nrf2	nuclear factor, erythroid derived 2, like 2	protein-coding
lmo2_peak_1727	chr8	122321648	122322029	+	574	NA	intron (NM_009569, intron 3 of 9)	intron (NM_009569, intron 3 of 9)	39697	NM_009569	22761	Mm.3105	NM_009569	ENSMUSG00000049577	Zfpm1	FOG|Fog1	zinc finger protein, multitype 1	protein-coding
lmo2_peak_1500	chr7	45524730	45525139	+	571	NA	exon (NM_008654, exon 2 of 3)	exon (NM_008654, exon 2 of 3)	1334	NM_008654	17872	Mm.4048	NM_008654	ENSMUSG00000040435	Ppp1r15a	9630030H21|Gadd34|Myd116	protein phosphatase 1, regulatory subunit 15A	protein-coding
lmo2_peak_6	chr1	36919702	36920742	+	560	NA	intron (NM_018872, intron 1 of 40)	intron (NM_018872, intron 1 of 40)	19305	NM_018872	56030	Mm.186943	NM_018872	ENSMUSG00000026116	Tmem131	2610524E03Rik|CC28|D1Bwg0491e|Neg|RW1|YR-23|mKIAA0257	transmembrane protein 131	protein-coding
lmo2_peak_1064	chr2	173035011	173035426	+	560	NA	TTS (NM_019547)	TTS (NM_019547)	13316	NM_019547	56190	Mm.485782	NM_019547	ENSMUSG00000027510	Rbm38	Rnpc1|Seb4|Seb4l	RNA binding motif protein 38	protein-coding
lmo2_peak_1540	chr7	109114946	109115373	+	560	NA	Intergenic	Intergenic	-31828	NM_001311161	320360	Mm.71007	NM_178780	ENSMUSG00000048330	Ric3	E130307J04Rik	RIC3 acetylcholine receptor chaperone	protein-coding
lmo2_peak_1788	chr9	57505783	57506243	+	544	NA	TTS (NM_133982)	TTS (NM_133982)	1911	NM_133982	102614	Mm.274421	NM_133982	ENSMUSG00000062309	Rpp25	AI851155	ribonuclease P/MRP 25 subunit	protein-coding
lmo2_peak_303	chr11	101485446	101486070	+	541	NA	Intergenic	Intergenic	17583	NM_009708	11858	Mm.378883	NM_009708	ENSMUSG00000001313	Rnd2	Arhn|Rohn|rho7	Rho family GTPase 2	protein-coding
lmo2_peak_1680	chr8	90822419	90822847	+	527	NA	Intergenic	Intergenic	-5240	NR_157160	100503868	Mm.442076	NR_157160	ENSMUSG00000110332	Gm19935	Gm45396	predicted gene, 19935	ncRNA
lmo2_peak_1414	chr6	38341682	38342316	+	527	NA	intron (NM_028864, intron 1 of 8)	intron (NM_028864, intron 1 of 8)	12604	NM_028864	78781	Mm.25243	NM_028421	ENSMUSG00000029826	Zc3hav1	1200014N16Rik|2900058M19Rik|9130009D18Rik|9830115L13Rik|ARTD13|D6Bwg1452e|PARP13|ZAP	zinc finger CCCH type, antiviral 1	protein-coding
lmo2_peak_815	chr18	32542303	32542811	+	527	NA	intron (NM_001048207, intron 1 of 2)	intron (NM_001048207, intron 1 of 2)	17477	NM_001347610	71683	Mm.292145	NM_027863	ENSMUSG00000090523	Gypc	0610037F22Rik|Cd236r	glycophorin C	protein-coding
lmo2_peak_1212	chr4	115056507	115056891	+	525	NA	intron (NM_011527, intron 1 of 4)	CpG	273	NM_011527	21349	Mm.239869	NM_011527	ENSMUSG00000028717	Tal1	Hpt|SCL/tal-1|Scl|bHLHa17|tal-1	T cell acute lymphocytic leukemia 1	protein-coding
lmo2_peak_1160	chr4	13751137	13751815	+	511	NA	5' UTR (NM_001111027, exon 1 of 12)	5' UTR (NM_001111027, exon 1 of 12)	179	NM_001111027	12395	Mm.4909	NM_009822	ENSMUSG00000006586	Runx1t1	Cbfa2t1h|ETO|MTG8	RUNX1 translocation partner 1	protein-coding
lmo2_peak_233	chr11	44746816	44747132	+	511	NA	intron (NM_001362579, intron 7 of 16)	intron (NM_001362579, intron 7 of 16)	126746	NM_001362569	13591	Mm.439662	NM_007897	ENSMUSG00000057098	Ebf1	Ebf|O/E-1|OE-1|Olf-1|Olf1	early B cell factor 1	protein-coding
lmo2_peak_426	chr13	37509451	37509870	+	511	NA	Intergenic	Intergenic	164315	NM_010745	17084	Mm.2639	NM_010745	ENSMUSG00000021423	Ly86	MD-1|MD1|ly86_tv2	lymphocyte antigen 86	protein-coding
lmo2_peak_1218	chr4	115849323	115849687	+	509	NA	intron (NM_001355174, intron 2 of 11)	intron (NM_001355174, intron 2 of 11)	10284	NM_001369238	17346	Mm.209327	NM_021461	ENSMUSG00000028708	Mknk1	2410048M24Rik|Mnk1	MAP kinase-interacting serine/threonine kinase 1	protein-coding
lmo2_peak_195	chr10	119086533	119086950	+	496	NA	Intergenic	Intergenic	-6164	NR_045348	73400	Mm.416864	NR_045348	ENSMUSG00000100681	1700064J06Rik	-	RIKEN cDNA 1700064J06 gene	ncRNA
lmo2_peak_70	chr1	153542825	153543293	+	495	NA	intron (NM_028749, intron 2 of 11)	intron (NM_028749, intron 2 of 11)	6655	NM_028749	74091	Mm.24887	NM_028749	ENSMUSG00000042684	Npl	0610033B02Rik	N-acetylneuraminate pyruvate lyase	protein-coding
lmo2_peak_903	chr19	57117088	57117535	+	495	NA	intron (NM_001362445, intron 6 of 20)	intron (NM_001362445, intron 6 of 20)	1713	NM_001103178	226251	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding
lmo2_peak_1002	chr2	103893768	103894154	+	495	NA	Intergenic	Intergenic	-6990	NR_131913	100996933	Mm.394449	NR_131913		Lincred1	-	long intergenic non-protein coding RNA of erythroid differentiation 1	ncRNA
lmo2_peak_298	chr11	101189903	101190253	+	495	NA	3' UTR (NM_016782, exon 24 of 24)	3' UTR (NM_016782, exon 24 of 24)	13961	NM_016782	53321	Mm.474527	NM_016782	ENSMUSG00000017167	Cntnap1	AI841080|Caspr|NCP1|Nrxn4|p190|shm	contactin associated protein-like 1	protein-coding
lmo2_peak_352	chr12	32143170	32143562	+	479	NA	Intergenic	MLTR18_MM|LTR|ERVK	65104	NM_020272	30955	Mm.101369	NM_020272	ENSMUSG00000020573	Pik3cg	5830428L06Rik|PI3Kgamma|p110gamma|p120-PI3K	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	protein-coding
lmo2_peak_635	chr15	89497709	89498035	+	479	NA	Intergenic	Intergenic	-1736	NM_021423	58234	Mm.146855	NM_021423	ENSMUSG00000022623	Shank3	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	SH3 and multiple ankyrin repeat domains 3	protein-coding
lmo2_peak_1376	chr5	143058165	143058505	+	479	NA	intron (NM_207110, intron 13 of 16)	intron (NM_207110, intron 13 of 16)	54685	NM_080561	108086	Mm.381440	NM_080561	ENSMUSG00000045078	Rnf216	2810055G22Rik|AI647468|AU019462|C86502|F830018F18Rik|TRIAD3|UIP83|Ubce7ip1	ring finger protein 216	protein-coding
lmo2_peak_713	chr16	93147552	93147880	+	463	NA	Intergenic	Intergenic	205473	NR_040486	69857	Mm.81192	NR_040486	ENSMUSG00000100277	1810053B23Rik	1810008L18Rik|1810056K14Rik	RIKEN cDNA 1810053B23 gene	ncRNA
lmo2_peak_984	chr2	85140709	85141236	+	447	NA	Intergenic	Intergenic	4612	NM_011784	23796	Mm.29368	NM_011784	ENSMUSG00000044338	Aplnr	APJ|Agtrl1|msr/apj	apelin receptor	protein-coding
lmo2_peak_923	chr2	21964052	21964392	+	447	NA	Intergenic	Intergenic	-263281	NM_148413	667663	Mm.330033	NM_148413	ENSMUSG00000025716	Myo3a	9030416P08Rik	myosin IIIA	protein-coding
lmo2_peak_776	chr17	56762187	56762425	+	446	NA	Intergenic	Intergenic	-2445	NM_144858	224907	Mm.293973	NM_144858	ENSMUSG00000007603	Dus3l	AI662135|AW557805	dihydrouridine synthase 3-like (S. cerevisiae)	protein-coding
lmo2_peak_845	chr18	80625072	80625535	+	442	NA	intron (NM_001164111, intron 9 of 9)	intron (NM_001164111, intron 9 of 9)	-80757	NR_028424	100039348	Mm.254722	NR_028424	ENSMUSG00000118319	Gm2176	A430076E10Rik	glucosamine-6-phosphate deaminase 1 pseudogene	pseudo
lmo2_peak_1672	chr8	84730810	84731140	+	436	NA	intron (NM_010906, intron 2 of 8)	intron (NM_010906, intron 2 of 8)	29518	NM_008535	17095	Mm.4925	NM_008535	ENSMUSG00000034041	Lyl1	Lyl-1|bHLHa18	lymphoblastomic leukemia 1	protein-coding
lmo2_peak_756	chr17	35021869	35022296	+	435	NA	intron (NM_138582, intron 9 of 16)	RLTR18B|LTR|ERVK	5503	NM_138582	27762	Mm.56895	NM_138582	ENSMUSG00000007030	Vwa7	C6orf27|D17H6S56E-3|G7c|NG37	von Willebrand factor A domain containing 7	protein-coding
lmo2_peak_1110	chr3	97890289	97890653	+	431	NA	Intergenic	Intergenic	-1764	NM_001289702	83679	Mm.129840	NM_031401	ENSMUSG00000038170	Pde4dip	4732458A06Rik|9430063L05Rik|C87016|D130016K21Rik|D3Bwg1078e|Usmg4|mKIAA0454	phosphodiesterase 4D interacting protein (myomegalin)	protein-coding
lmo2_peak_1479	chr6	136857552	136857980	+	431	NA	promoter-TSS (NM_026639)	promoter-TSS (NM_026639)	-166	NM_026639	109978	Mm.31840	NM_026639	ENSMUSG00000030217	Art4	4432404K01Rik|ARTC4|DO|DOK1	ADP-ribosyltransferase 4	protein-coding
lmo2_peak_869	chr19	34656447	34656862	+	431	NA	Intergenic	Intergenic	15765	NM_008331	15957	Mm.439751	NM_008331	ENSMUSG00000034459	Ifit1	ISG56|Ifi56|P56	interferon-induced protein with tetratricopeptide repeats 1	protein-coding
lmo2_peak_981	chr2	84811857	84812258	+	431	NA	intron (NM_024230, intron 7 of 7)	intron (NM_024230, intron 7 of 7)	10595	NM_024230	68678	Mm.33452	NM_024230	ENSMUSG00000027077	Smtnl1	1110030K22Rik|CHASM	smoothelin-like 1	protein-coding
lmo2_peak_878	chr19	37858442	37858849	+	415	NA	Intergenic	Intergenic	160837	NM_007811	13082	Mm.42230	NM_007811	ENSMUSG00000024987	Cyp26a1	Cyp26|P450RA|P450RAI|RAH	cytochrome P450, family 26, subfamily a, polypeptide 1	protein-coding
lmo2_peak_546	chr14	63908537	63908927	+	415	NA	intron (NM_028228, intron 6 of 6)	intron (NM_028228, intron 6 of 6)	-34974	NM_011446	20680	Mm.42162	NM_011446	ENSMUSG00000063060	Sox7	-	SRY (sex determining region Y)-box 7	protein-coding
lmo2_peak_1851	chr9	107982553	107983073	+	415	NA	intron (NM_023738, intron 21 of 23)	intron (NM_023738, intron 21 of 23)	3103	NM_026597	68176	Mm.76166	NM_026597	ENSMUSG00000042106	Inka1	6230427J02Rik|Fam212a	inka box actin regulator 1	protein-coding
lmo2_peak_1355	chr5	124266930	124267239	+	406	NA	exon (NM_001277867, exon 16 of 23)	exon (NM_001277867, exon 16 of 23)	-17324	NM_011256	19679	Mm.44261	NM_011256	ENSMUSG00000029406	Pitpnm2	NIR3|RDGBA2|Rdgb2|mKIAA1457	phosphatidylinositol transfer protein, membrane-associated 2	protein-coding
lmo2_peak_1489	chr7	16294922	16295233	+	406	NA	Intergenic	Intergenic	-8282	NM_001136471	243846	Mm.482401	NM_172297	ENSMUSG00000041375	Ccdc9	2600011L02Rik	coiled-coil domain containing 9	protein-coding
lmo2_peak_1711	chr8	120369894	120370390	+	402	NA	Intergenic	Intergenic	-118724	NM_198671	382034	Mm.334856	NM_198671	ENSMUSG00000031822	Gse1	2210013I18Rik|mKIAA0182	genetic suppressor element 1, coiled-coil protein	protein-coding
lmo2_peak_1581	chr7	144811825	144812244	+	400	NA	Intergenic	Intergenic	-26578	NM_008007	14174	Mm.4947	NM_008007	ENSMUSG00000031074	Fgf3	Fgf-3|Int-2|Int-P	fibroblast growth factor 3	protein-coding
lmo2_peak_345	chr12	27127070	27127454	+	400	NA	Intergenic	Eulor6E|DNA?|DNA?	-12267	NR_045052	100504347	Mm.130500	NR_045052	ENSMUSG00000094002	Gm20187	-	predicted gene, 20187	ncRNA
lmo2_peak_1821	chr9	71604975	71605288	+	400	NA	Intergenic	Intergenic	-12771	NM_001033208	102371	Mm.27585	NM_001033208	ENSMUSG00000041361	Myzap	AA407270|AV006038|Gcom1|Gm20502|Gm640|Grinl1a7|Myozap	myocardial zonula adherens protein	protein-coding
lmo2_peak_597	chr15	59012771	59013184	+	400	NA	intron (NM_001146180, intron 3 of 13)	intron (NM_001146180, intron 3 of 13)	69049	NM_144800	211401	Mm.215481	NM_144800	ENSMUSG00000022353	Mtss1	2310003N14Rik|BC024131|D130001D01Rik|Mim|mKIAA0429	MTSS I-BAR domain containing 1	protein-coding
lmo2_peak_97	chr1	184645265	184645652	+	400	NA	Intergenic	Intergenic	-67039	NR_040627	74971	Mm.410816	NR_040627	ENSMUSG00000092578	4930488B22Rik	-	RIKEN cDNA 4930488B22 gene	ncRNA
lmo2_peak_724	chr16	96533708	96534158	+	400	NA	Intergenic	Intergenic	66327	NM_008791	18546	Mm.5023	NM_008791	ENSMUSG00000090223	Pcp4	P16Rimb19|Pcp-4|Pep19	Purkinje cell protein 4	protein-coding
lmo2_peak_1323	chr5	75962128	75962531	+	391	NA	intron (NM_010612, intron 10 of 29)	intron (NM_010612, intron 10 of 29)	16126	NM_010612	16542	Mm.285	NM_010612	ENSMUSG00000062960	Kdr	6130401C07|Flk-1|Flk1|Krd-1|Ly73|VEGFR-2|VEGFR2|orv|sVEGFR-2	kinase insert domain protein receptor	protein-coding
lmo2_peak_1135	chr3	135843793	135844091	+	384	NA	intron (NM_026228, intron 2 of 8)	intron (NM_026228, intron 2 of 8)	-3673	NR_040540	71038	Mm.410798	NR_040540	ENSMUSG00000106306	4933401H06Rik	-	RIKEN cDNA 4933401H06 gene	ncRNA
lmo2_peak_837	chr18	74007884	74008418	+	384	NA	intron (NM_172632, intron 1 of 5)	intron (NM_172632, intron 1 of 5)	-9756	NR_045390	77855	Mm.410760	NR_045390	ENSMUSG00000090263	D730045A05Rik	-	RIKEN cDNA D730045A05 gene	ncRNA
lmo2_peak_1783	chr9	49988083	49988401	+	384	NA	Intergenic	Intergenic	-188849	NM_001311065	17967	Mm.4974	NM_010875	ENSMUSG00000039542	Ncam1	CD56|E-NCAM|NCAM-1|Ncam	neural cell adhesion molecule 1	protein-coding
lmo2_peak_486	chr13	97452963	97453396	+	377	NA	intron (NR_110432, intron 1 of 1)	intron (NR_110432, intron 1 of 1)	18209	NR_110432	100039691	Mm.219358	NR_110430	ENSMUSG00000078952	Lncenc1	Gm11019|Gm2373|Lincenc1|Platr18|linc-Enc1	long non-coding RNA, embryonic stem cells expressed 1	ncRNA
lmo2_peak_1176	chr4	49956857	49957251	+	377	NA	Intergenic	LTR53|LTR|ERVL	-111285	NM_001033351	242443	Mm.440095	NM_001033351	ENSMUSG00000039579	Grin3a	6430537F04|A830097C19Rik|NMDAR-L|NR3A|mKIAA1973	glutamate receptor ionotropic, NMDA3A	protein-coding
lmo2_peak_723	chr16	95861291	95861692	+	375	NA	intron (NR_040484, intron 1 of 3)	intron (NR_040484, intron 1 of 3)	37222	NR_040485	69776	Mm.120470	NR_040484	ENSMUSG00000117232	1600002D24Rik	-	RIKEN cDNA 1600002D24 gene	ncRNA
lmo2_peak_1042	chr2	160327111	160327601	+	369	NA	exon (NM_001033411, exon 1 of 3)	exon (NM_001033411, exon 1 of 3)	138	NM_001033411	329554	Mm.291144	NM_001033411	ENSMUSG00000074623	Gm826	-	predicted gene 826	protein-coding
lmo2_peak_702	chr16	91441486	91442194	+	369	NA	Intergenic	Intergenic	-23264	NR_077219	100503120	Mm.387130	NR_077219	ENSMUSG00000084866	A930006K02Rik	-	RIKEN cDNA A930006K02 gene	ncRNA
lmo2_peak_1049	chr2	165888529	165888835	+	369	NA	Intergenic	Intergenic	-3844	NM_001252587	228880	Mm.227598	NM_027230	ENSMUSG00000039671	Zmynd8	1110013E22Rik|2010005I16Rik|3632413B07Rik|AI316811|AL024039|Prkcbp1|RACK7	zinc finger, MYND-type containing 8	protein-coding
lmo2_peak_1000	chr2	103597266	103597674	+	369	NA	intron (NM_178890, intron 1 of 16)	intron (NM_178890, intron 1 of 16)	31160	NM_178890	99382	Mm.35850	NM_178890	ENSMUSG00000032724	Abtb2	AW539457|BPOZ-2	ankyrin repeat and BTB (POZ) domain containing 2	protein-coding
lmo2_peak_520	chr14	27044948	27045418	+	369	NA	intron (NM_134437, intron 1 of 12)	intron (NM_134437, intron 1 of 12)	6182	NM_134437	171463	Mm.206726	NM_027265	ENSMUSG00000040717	Il17rd	2810004A10Rik|AI428510|Sef|Sef-S	interleukin 17 receptor D	protein-coding
lmo2_peak_794	chr17	85339071	85339388	+	369	NA	intron (NM_028576, intron 3 of 10)	B4A|SINE|B4	248603	NM_001364946	73582	Mm.260753	NM_028576	ENSMUSG00000071037	Camkmt	1700106N22Rik|AI480743|AV099781|CLNMT|CaM KMT	calmodulin-lysine N-methyltransferase	protein-coding
lmo2_peak_41	chr1	87961590	87961918	+	369	NA	intron (NM_001033291, intron 19 of 27)	intron (NM_001033291, intron 19 of 27)	46797	NM_001198573	227334	Mm.80484	NM_001033291	ENSMUSG00000005501	Usp40	B230215L03Rik|C730029K03	ubiquitin specific peptidase 40	protein-coding
lmo2_peak_1813	chr9	66294983	66295390	+	369	NA	Intergenic	Intergenic	-55264	NM_145617	235439	Mm.244179	NM_145617	ENSMUSG00000038664	Herc1	2810449H11Rik|B230218H07|D130015N03Rik|tbl	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	protein-coding
